Stream ID,mezzanine radius,pic timing,VUI timing,sample entry,CMAF frag dur,init constraints,frag_type,resolution,framerate,bitrate,duration,cmaf_profile,wave_profile,cenc,sar,mezzanine_prefix_25HZ,mezzanine_prefix_30HZ
1,L1_1920x1080,False,True,hvc1,2.0,multiple,duration,1920x1080,1,8000,30.0,cmfc,chh1,False,1/1,croatia_,tos_
1_enc,L1_1920x1080,False,True,hvc1,2.0,multiple,duration,1920x1080,1,8000,30.0,cmfc,chh1,True,1/1,croatia_,tos_
2,L1_1920x1080,True,False,hev1,2.0,multiple,pframes,1920x1080,1,8000,30.0,cmf2,chh1,False,1/1,croatia_,tos_
3,L1_1920x1080,True,True,hvc1,2.0,multiple,duration,1920x1080,1,8000,30.0,cmfc,chh1,False,1/1,croatia_,tos_
4,L1_1920x1080,False,False,hvc1,2.0,multiple,duration,1920x1080,1,8000,30.0,cmfc,chh1,False,1/1,croatia_,tos_
5,L1_1920x1080,False,True,hev1,2.0,multiple,duration,1920x1080,1,8000,30.0,cmfc,chh1,False,1/1,croatia_,tos_
6,L1_1920x1080,False,True,hvc1,2.0,multiple,pframes,1920x1080,1,8000,30.0,cmfc,chh1,False,1/1,croatia_,tos_
7,L1_1920x1080,False,True,hvc1,2.0,multiple,duration,1920x1080,1,8000,30.0,cmf2,chh1,False,1/1,croatia_,tos_
10,L1_1920x1080,False,True,hvc1,2.0,multiple,duration,1920x1080,1,8000,60.0,cmfc,chh1,False,1/1,croatia_,tos_
11,L1_1920x1080,False,True,hvc1,2.0,multiple,duration,1920x1080,0.5,5000,60.0,cmfc,chh1,False,1/1,croatia_,tos_
12,J1_1280x720,False,True,hvc1,2.0,multiple,duration,1280x720,0.5,5000,60.0,cmfc,chh1,False,1/1,croatia_,tos_
1_splice_main,B1_1920x1080,False,True,hvc1,2.0,multiple,duration,1920x1080,1,8000,-1,cmfc,chh1,False,1/1,splice_main_croatia_,splice_main_tos_
1_splice_ad,AD-B1_1920x1080,False,True,hvc1,2.0,multiple,duration,1920x1080,1,8000,-1,cmfc,chh1,False,1/1,splice_ad_bbb_,splice_ad_bbb_
1_splice_main_enc,B1_1920x1080,False,True,hvc1,2.0,multiple,duration,1920x1080,1,8000,-1,cmfc,chh1,True,1/1,splice_main_croatia_,splice_main_tos_
1_splice_ad_enc,AD-B1_1920x1080,False,True,hvc1,2.0,multiple,duration,1920x1080,1,8000,-1,cmfc,chh1,True,1/1,splice_ad_bbb_,splice_ad_bbb_
